user,item,label
3706,2,1
3706,29,1
3706,32,1
3706,13,1
3706,1,1
3706,46,1
3706,47,1
3706,28,0
3706,5,1
3706,52,1
3706,31,1
3706,51,1
3706,34,1
3706,44,1
3706,25,1
3706,15,1
3706,49,1
3706,38,1
3706,14,1
3706,39,1
3706,7,1
3706,0,1
3706,40,1
3706,17,1
3706,33,1
3706,27,1
3706,36,0
3706,50,1
3706,6,1
3706,37,1
3706,22,1
3706,9,1
3706,8,1
3706,24,1
3706,41,1
3706,35,1
3706,21,1
3706,12,1
3706,18,1
3706,4,1
3706,11,1
3706,43,1
3706,16,1
3707,62,1
3707,169,0
3707,171,1
3707,67,1
3707,161,0
3707,81,1
3707,107,1
3707,94,1
3707,168,1
3707,167,1
3707,73,1
3707,160,1
3707,156,1
3707,126,1
3707,157,1
3707,153,1
3707,144,1
3707,93,1
3707,48,1
3707,120,1
3707,155,1
3707,158,1
3707,52,1
3707,132,1
3707,75,1
3707,112,1
3707,106,1
3707,133,1
3707,104,1
3707,127,1
3707,128,1
3707,142,1
3707,121,1
3707,173,1
3707,134,1
3707,0,1
3707,147,1
3707,55,1
3707,117,1
3707,103,1
3707,56,1
3707,165,0
3707,162,1
3707,113,1
3707,154,0
3707,141,1
3707,18,1
3707,74,1
3707,87,1
3707,42,1
3707,82,1
3707,69,1
3707,122,1
3707,98,1
3707,58,1
3707,77,1
3707,20,1
3707,99,1
3707,164,1
3707,135,1
3707,88,1
3707,61,1
3707,100,1
3707,145,1
3707,97,1
3707,150,1
3707,78,1
3707,174,1
3707,125,1
3707,91,1
3707,72,1
3707,130,1
3707,114,0
3707,139,1
3707,63,1
3707,89,1
3707,64,1
3707,68,1
3707,146,1
3707,90,1
3707,96,1
3707,137,1
3707,119,1
3707,79,1
3707,163,1
3707,83,1
3707,60,1
3707,159,1
3707,118,1
3707,92,1
3707,151,1
3707,85,1
3707,109,1
3707,54,1
3707,59,1
3707,116,1
3707,110,1
3707,101,1
3707,140,1
3707,152,1
3707,111,1
3707,53,1
3707,138,1
3707,143,1
3708,201,1
3708,175,1
3708,123,1
3708,200,1
3708,178,1
3708,186,1
3708,113,1
3708,50,1
3708,194,1
3708,44,1
3708,205,1
3708,179,1
3708,127,1
3708,64,1
3708,188,1
3708,180,1
3708,84,1
3708,124,1
3708,104,1
3708,184,1
3708,206,1
3708,116,1
3708,128,1
3708,168,1
3708,195,1
3708,183,1
3708,193,1
3708,197,1
3708,196,1
3708,207,1
3708,58,1
3708,22,1
3708,4,1
3708,181,1
3708,176,1
3708,192,1
3708,41,1
3708,177,1
3708,191,1
3708,182,1
3708,202,1
3709,113,1
3709,214,1
3709,64,1
3709,215,1
3709,48,1
3709,26,1
3709,156,1
3709,217,1
3709,210,1
3709,209,1
3709,44,1
3709,213,1
3709,216,1
3709,212,1
3709,43,1
3709,208,1
3709,211,1
3710,293,1
3710,279,0
3710,273,1
3710,129,1
3710,348,1
3710,38,1
3710,253,0
3710,368,1
3710,337,1
3710,356,0
3710,257,1
3710,262,1
3710,43,1
3710,247,1
3710,283,1
3710,371,1
3710,281,1
3710,333,1
3710,272,1
3710,48,1
3710,184,1
3710,373,1
3710,291,1
3710,378,1
3710,352,1
3710,132,1
3710,276,1
3710,249,1
3710,67,1
3710,277,1
3710,306,1
3710,364,1
3710,266,1
3710,255,1
3710,332,1
3710,307,0
3710,350,1
3710,308,1
3710,128,1
3710,104,1
3710,263,1
3710,268,1
3710,4,1
3710,353,1
3710,320,1
3710,59,1
3710,310,1
3710,336,1
3710,300,0
3710,358,1
3710,341,1
3710,259,1
3710,3,1
3710,39,1
3710,238,1
3710,235,1
3710,367,0
3710,372,1
3710,338,1
3710,243,1
3710,254,1
3710,343,1
3710,234,1
3710,270,0
3710,51,1
3710,106,1
3710,167,1
3710,120,1
3710,229,1
3710,195,1
3710,354,1
3710,319,1
3710,362,0
3710,245,1
3710,226,1
3710,218,1
3710,335,1
3710,289,1
3710,355,1
3710,261,1
3710,316,1
3710,284,1
3710,301,0
3710,314,1
3710,360,1
3710,156,1
3710,363,1
3710,239,1
3710,232,1
3710,155,1
3710,305,1
3710,131,0
3710,369,1
3710,334,1
3710,381,1
3710,318,1
3710,278,0
3710,246,1
3710,349,1
3710,375,1
3710,366,1
3710,321,1
3710,322,1
3710,288,1
3710,171,1
3710,309,1
3710,379,1
3710,384,1
3710,244,1
3710,351,1
3710,248,1
3710,357,1
3710,240,1
3710,339,1
3710,237,1
3710,250,0
3710,328,1
3710,344,1
3710,323,1
3710,298,1
3710,376,1
3710,122,1
3710,224,1
3710,290,1
3710,382,1
3710,222,1
3710,370,0
3710,219,1
3710,312,1
3710,227,0
3710,27,1
3710,329,0
3710,342,1
3710,359,1
3710,242,1
3710,304,1
3710,109,1
3710,292,1
3710,18,1
3710,252,1
3710,317,1
3710,78,1
3710,365,1
3710,313,1
3710,223,1
3710,374,1
3710,326,1
3710,285,1
3710,233,1
3710,230,1
3710,324,1
3710,225,1
3710,271,1
3710,220,1
3710,265,1
3710,331,1
3710,302,0
3710,282,1
3710,347,1
3711,3,1
3711,153,1
3711,385,1
3711,403,1
3711,428,1
3711,401,1
3711,386,1
3711,381,1
3711,420,1
3711,40,1
3711,412,1
3711,429,1
3711,394,0
3711,45,1
3711,396,1
3711,207,1
3711,413,1
3711,10,1
3711,421,0
3711,392,1
3711,424,1
3711,20,1
3711,244,1
3711,406,1
3711,88,1
3711,2,1
3711,393,0
3711,391,1
3711,395,0
3711,389,1
3711,404,0
3711,388,1
3711,423,1
3711,425,1
3711,68,1
3711,405,1
3711,104,1
3711,178,1
3711,414,1
3711,408,1
3711,416,1
3711,419,1
3711,409,1
3711,415,1
3711,264,1
3711,402,1
3711,417,1
3711,400,1
3711,422,1
3711,123,1
3711,390,1
3711,407,0
3711,112,1
3711,418,1
3711,25,1
3711,14,1
3711,166,1
3712,148,1
3712,434,1
3712,78,1
3712,431,1
3712,68,1
3712,90,1
3712,107,1
3712,132,1
3712,62,1
3712,264,1
3712,189,1
3712,74,1
3712,58,1
3712,113,1
3712,48,1
3712,406,1
3712,151,1
3712,156,1
3712,195,1
3712,124,1
3712,22,1
3712,150,1
3712,92,1
3712,319,1
3712,255,1
3713,500,1
3713,195,1
3713,471,1
3713,493,1
3713,470,1
3713,134,1
3713,94,1
3713,104,1
3713,90,1
3713,328,1
3713,189,1
3713,467,0
3713,501,1
3713,473,0
3713,67,1
3713,359,1
3713,503,0
3713,322,1
3713,455,0
3713,511,1
3713,482,1
3713,483,1
3713,484,1
3713,256,1
3713,509,1
3713,488,1
3713,502,1
3713,74,1
3713,510,1
3713,109,1
3713,474,1
3713,437,1
3713,446,1
3713,459,1
3713,31,1
3713,62,1
3713,497,1
3713,222,1
3713,513,1
3713,416,1
3713,283,1
3713,485,0
3713,479,1
3713,466,1
3713,156,1
3713,144,1
3713,39,1
3713,372,1
3713,508,1
3713,436,0
3713,321,1
3713,486,1
3713,27,1
3713,460,1
3713,498,1
3713,505,1
3713,506,1
3713,443,0
3713,490,1
3713,444,1
3713,59,1
3713,51,1
3713,476,0
3713,432,1
